manuscript_location,run_label,run_id,condition,pair_set_id,n_pairs_per_model,languages,source_artifact,metric_values_json
Table 5,deploy,deployment_language_specific_runs,language=python|system=Source-access RF|model=random_forest_regressor,language-specific deployment pair sets,,python,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.628, ""n_correct_pairs"": 1884, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.628}"
Table 5,deploy,deployment_language_specific_runs,language=python|system=RapidOCR + best ML|model=gradient_boosting_regressor,language-specific deployment pair sets,,python,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.5953333333333334, ""n_correct_pairs"": 1786, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.5953333333333334}"
Table 5,deploy,deployment_language_specific_runs,language=python|system=Direct Qwen image-only|model=Qwen/Qwen2.5-VL-7B-Instruct,language-specific deployment pair sets,,python,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.3526666666666667, ""n_correct_pairs"": 1058, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1473, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.509, ""valid_accuracy"": 0.7182620502376104}"
Table 5,deploy,deployment_language_specific_runs,language=python|system=Source-text Qwen2.5-Coder|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,python,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.2606666666666666, ""n_correct_pairs"": 782, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1362, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.546, ""valid_accuracy"": 0.5741556534508077}"
Table 5,deploy,deployment_language_specific_runs,language=python|system=Best OCR-text LLM (RapidOCR)|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,python,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.0986666666666666, ""n_correct_pairs"": 296, ""n_total_pairs"": 3000, ""n_valid_pairs"": 472, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.8426666666666667, ""valid_accuracy"": 0.6271186440677966}"
Table 5,deploy,deployment_language_specific_runs,language=cuda|system=Source-access RF|model=random_forest_regressor,language-specific deployment pair sets,,cuda,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.734, ""n_correct_pairs"": 2202, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.734}"
Table 5,deploy,deployment_language_specific_runs,language=cuda|system=RapidOCR + best ML|model=linear_regression,language-specific deployment pair sets,,cuda,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.6073333333333333, ""n_correct_pairs"": 1822, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.6073333333333333}"
Table 5,deploy,deployment_language_specific_runs,language=cuda|system=Direct Qwen image-only|model=Qwen/Qwen2.5-VL-7B-Instruct,language-specific deployment pair sets,,cuda,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.4996666666666666, ""n_correct_pairs"": 1499, ""n_total_pairs"": 3000, ""n_valid_pairs"": 2098, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.3006666666666667, ""valid_accuracy"": 0.7144899904671115}"
Table 5,deploy,deployment_language_specific_runs,language=cuda|system=Source-text Qwen2.5-Coder|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,cuda,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.332, ""n_correct_pairs"": 996, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1724, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.4253333333333333, ""valid_accuracy"": 0.5777262180974478}"
Table 5,deploy,deployment_language_specific_runs,language=cuda|system=Best OCR-text LLM (RapidOCR)|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,cuda,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.2156666666666666, ""n_correct_pairs"": 647, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1075, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.6416666666666667, ""valid_accuracy"": 0.6018604651162791}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.549, ""debiased_tie_rate"": 0.037, ""median_abs_b"": 1.125, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.125, ""strict_valid_rate"": 0.256}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.553, ""debiased_tie_rate"": 0.029, ""median_abs_b"": 0.875, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.166, ""strict_valid_rate"": 0.311}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.544, ""debiased_tie_rate"": 0.035, ""median_abs_b"": 1.0625, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.156, ""strict_valid_rate"": 0.308}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.561, ""debiased_tie_rate"": 0.039, ""median_abs_b"": 0.875, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.187, ""strict_valid_rate"": 0.322}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.557, ""debiased_tie_rate"": 0.027, ""median_abs_b"": 1.0, ""median_abs_c"": 0.5, ""n"": 1000, ""strict_effective_accuracy"": 0.15, ""strict_valid_rate"": 0.29}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.546, ""debiased_tie_rate"": 0.036, ""median_abs_b"": 0.8125, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.18, ""strict_valid_rate"": 0.325}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.549, ""debiased_tie_rate"": 0.032, ""median_abs_b"": 1.0, ""median_abs_c"": 0.5, ""n"": 1000, ""strict_effective_accuracy"": 0.148, ""strict_valid_rate"": 0.298}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.549, ""debiased_tie_rate"": 0.032, ""median_abs_b"": 0.8125, ""median_abs_c"": 0.5, ""n"": 1000, ""strict_effective_accuracy"": 0.206, ""strict_valid_rate"": 0.346}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.563, ""debiased_tie_rate"": 0.03, ""median_abs_b"": 1.125, ""median_abs_c"": 0.59375, ""n"": 1000, ""strict_effective_accuracy"": 0.154, ""strict_valid_rate"": 0.305}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.549, ""debiased_tie_rate"": 0.035, ""median_abs_b"": 0.875, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.163, ""strict_valid_rate"": 0.306}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.545, ""debiased_tie_rate"": 0.035, ""median_abs_b"": 1.0625, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.148, ""strict_valid_rate"": 0.297}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.557, ""debiased_tie_rate"": 0.025, ""median_abs_b"": 0.9375, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.167, ""strict_valid_rate"": 0.312}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.523, ""debiased_tie_rate"": 0.039, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.275, ""strict_valid_rate"": 0.497}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.475, ""debiased_tie_rate"": 0.025, ""median_abs_b"": 0.4375, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.305, ""strict_valid_rate"": 0.634}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.507, ""debiased_tie_rate"": 0.032, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.287, ""strict_valid_rate"": 0.532}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.474, ""debiased_tie_rate"": 0.019, ""median_abs_b"": 0.4375, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.324, ""strict_valid_rate"": 0.657}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.524, ""debiased_tie_rate"": 0.031, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.275, ""strict_valid_rate"": 0.495}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.485, ""debiased_tie_rate"": 0.029, ""median_abs_b"": 0.375, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.341, ""strict_valid_rate"": 0.678}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.519, ""debiased_tie_rate"": 0.032, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.5625, ""n"": 1000, ""strict_effective_accuracy"": 0.295, ""strict_valid_rate"": 0.513}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.489, ""debiased_tie_rate"": 0.022, ""median_abs_b"": 0.375, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.342, ""strict_valid_rate"": 0.673}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.523, ""debiased_tie_rate"": 0.028, ""median_abs_b"": 0.625, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.278, ""strict_valid_rate"": 0.512}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.474, ""debiased_tie_rate"": 0.023, ""median_abs_b"": 0.53125, ""median_abs_c"": 0.8125, ""n"": 1000, ""strict_effective_accuracy"": 0.293, ""strict_valid_rate"": 0.633}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.518, ""debiased_tie_rate"": 0.03, ""median_abs_b"": 0.625, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.293, ""strict_valid_rate"": 0.539}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.478, ""debiased_tie_rate"": 0.02, ""median_abs_b"": 0.5, ""median_abs_c"": 0.8125, ""n"": 1000, ""strict_effective_accuracy"": 0.324, ""strict_valid_rate"": 0.668}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.5, ""debiased_tie_rate"": 0.02, ""median_abs_b"": 1.0625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.175, ""strict_valid_rate"": 0.363}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.514, ""debiased_tie_rate"": 0.041, ""median_abs_b"": 0.75, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.21, ""strict_valid_rate"": 0.413}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.509, ""debiased_tie_rate"": 0.022, ""median_abs_b"": 1.0, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.178, ""strict_valid_rate"": 0.373}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.508, ""debiased_tie_rate"": 0.029, ""median_abs_b"": 0.8125, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.205, ""strict_valid_rate"": 0.403}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.499, ""debiased_tie_rate"": 0.021, ""median_abs_b"": 1.0, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.173, ""strict_valid_rate"": 0.37}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.504, ""debiased_tie_rate"": 0.027, ""median_abs_b"": 0.6875, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.217, ""strict_valid_rate"": 0.434}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.507, ""debiased_tie_rate"": 0.02, ""median_abs_b"": 0.9375, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.193, ""strict_valid_rate"": 0.398}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.527, ""debiased_tie_rate"": 0.033, ""median_abs_b"": 0.75, ""median_abs_c"": 0.625, ""n"": 1000, ""strict_effective_accuracy"": 0.218, ""strict_valid_rate"": 0.407}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.493, ""debiased_tie_rate"": 0.025, ""median_abs_b"": 1.0625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.169, ""strict_valid_rate"": 0.384}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.494, ""debiased_tie_rate"": 0.035, ""median_abs_b"": 0.8125, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.211, ""strict_valid_rate"": 0.457}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.492, ""debiased_tie_rate"": 0.018, ""median_abs_b"": 1.0625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.162, ""strict_valid_rate"": 0.377}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.515, ""debiased_tie_rate"": 0.028, ""median_abs_b"": 0.875, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.229, ""strict_valid_rate"": 0.453}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.686, ""debiased_tie_rate"": 0.018, ""median_abs_b"": 0.625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.452, ""strict_valid_rate"": 0.571}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.685, ""debiased_tie_rate"": 0.021, ""median_abs_b"": 0.625, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.442, ""strict_valid_rate"": 0.571}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.674, ""debiased_tie_rate"": 0.025, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.464, ""strict_valid_rate"": 0.611}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.683, ""debiased_tie_rate"": 0.021, ""median_abs_b"": 0.5, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.496, ""strict_valid_rate"": 0.648}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.696, ""debiased_tie_rate"": 0.022, ""median_abs_b"": 0.6875, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.441, ""strict_valid_rate"": 0.547}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.684, ""debiased_tie_rate"": 0.021, ""median_abs_b"": 0.75, ""median_abs_c"": 0.6875, ""n"": 1000, ""strict_effective_accuracy"": 0.409, ""strict_valid_rate"": 0.53}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.68, ""debiased_tie_rate"": 0.022, ""median_abs_b"": 0.6875, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.443, ""strict_valid_rate"": 0.564}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.68, ""debiased_tie_rate"": 0.025, ""median_abs_b"": 0.5, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.497, ""strict_valid_rate"": 0.649}"
Fig. 5; Fig. 6,grid+perturbation,grounded_protocol_3lang_20260721/full_20260721,experiment=grid|model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/logit_decomposition/LOGIT_SUMMARY.csv,"{""debiased_accuracy"": 0.674, ""debiased_tie_rate"": 0.021, ""median_abs_b"": 0.5625, ""median_abs_c"": 0.75, ""n"": 1000, ""strict_effective_accuracy"": 0.469, ""strict_valid_rate"": 0.616}"
